Name,Link
,https://ichef.bbci.co.uk/news/64/cpsprodpb/141F0/production/_112961428_nicktriggle.jpg
A woman looks out her window,https://ichef.bbci.co.uk/news/976/cpsprodpb/D688/production/_122602945_gettyimages-1215743266.jpg
Chart showing excess deaths,https://ichef.bbci.co.uk/news/2048/cpsprodpb/08A2/production/_123201220_optimised-uk_mortality_v_average__08feb-nc.png
Presentational white space,https://ichef.bbci.co.uk/news/624/cpsprodpb/63B0/production/_117302552_a6bc73e5-91d8-4252-b778-e93e82abc65b.png
Chart showing infections,https://ichef.bbci.co.uk/news/2048/cpsprodpb/13D3A/production/_123201218_optimised-ons_uk_timeseries_09feb-nc.png
Presentational white space,https://ichef.bbci.co.uk/news/624/cpsprodpb/63B0/production/_117302552_a6bc73e5-91d8-4252-b778-e93e82abc65b.png
Banner image reading 'more about coronavirus',https://ichef.bbci.co.uk/news/2048/cpsprodpb/B898/production/_111165274_cps_web_banner_top_640x3-nc.png
Banner,https://ichef.bbci.co.uk/news/2048/cpsprodpb/D7D8/production/_111165255_cps_web_banner_bottom_640x3-nc.png
Banner saying 'Get in touch',https://ichef.bbci.co.uk/news/2048/cpsprodpb/1739F/production/_113753159_yqa_get_in_touch_top_no_yqa_text_640-nc.png
